Date,Open,High,Low,Close,Adj Close,Volume
2024-02-20,181.789993,182.429993,180.000000,181.559998,181.104446,53665600
2024-02-21,181.940002,182.889999,180.660004,182.320007,181.862549,41529700
2024-02-22,183.479996,184.960007,182.460007,184.369995,183.907394,52292200
2024-02-23,185.009995,185.039993,182.229996,182.520004,182.062042,45119700
2024-02-26,182.240005,182.759995,180.649994,181.160004,180.705460,40867400
2024-02-27,181.100006,183.919998,179.559998,182.630005,182.171768,54318900
2024-02-28,182.509995,183.119995,180.130005,181.419998,180.964798,48953900
2024-02-29,181.270004,182.570007,179.529999,180.750000,180.296478,136682600
2024-03-01,179.550003,180.529999,177.380005,179.660004,179.209229,73488000
2024-03-04,176.149994,176.899994,173.789993,175.100006,174.660660,81510100
2024-03-05,170.759995,172.039993,169.619995,170.119995,169.693161,95132400
2024-03-06,171.059998,171.240005,168.679993,169.119995,168.695648,68587700
2024-03-07,169.149994,170.729996,168.490005,169.000000,168.575958,71765100
2024-03-08,169.000000,173.699997,168.940002,170.729996,170.301605,76114600
2024-03-11,172.940002,174.380005,172.050003,172.750000,172.316559,60139500
2024-03-12,173.149994,174.029999,171.009995,173.229996,172.795334,59825400
2024-03-13,172.770004,173.190002,170.759995,171.130005,170.700623,52488700
2024-03-14,172.910004,174.309998,172.050003,173.000000,172.565933,72913500
2024-03-15,171.169998,172.619995,170.289993,172.619995,172.186874,121664700
2024-03-18,175.570007,177.710007,173.520004,173.720001,173.284119,75604200
2024-03-19,174.339996,176.610001,173.029999,176.080002,175.638199,55215200
2024-03-20,175.720001,178.669998,175.089996,178.669998,178.221710,53423100
2024-03-21,177.050003,177.490005,170.839996,171.369995,170.940018,106181300
2024-03-22,171.759995,173.050003,170.059998,172.279999,171.847733,71106600
2024-03-25,170.570007,171.940002,169.449997,170.850006,170.421326,54288300
2024-03-26,170.000000,171.419998,169.580002,169.710007,169.284195,57388400
2024-03-27,170.410004,173.600006,170.110001,173.309998,172.875137,60273300
2024-03-28,171.750000,172.229996,170.509995,171.479996,171.049744,65672700
